sequence,clones,method,trial,process_wall_ms,replay_wall_ms,api_compute_ms,decode_ms,ate_m,rpe_m,rpe_rotation_deg,admitted
V1_03_difficult,11,root_messages,2,11431.566402083263,11368.829584,7615.1561820000015,3710.6999840000008,0.0432274265793499,0.03425196640698803,0.26451485260175966,True
V1_03_difficult,11,root_messages,3,11434.510310180485,11372.17515,7619.125144,3709.514286999998,0.0432274265793499,0.03425196640698803,0.26451485260175966,True
V1_03_difficult,11,enhanced_ekf,1,11435.233016964048,11375.953941,7630.924412000005,3707.5064349999966,0.04322749617372342,0.03425196576310266,0.2645152040591264,True
V1_03_difficult,11,enhanced_ekf,2,11436.110904905945,11376.016943,7630.9738800000005,3707.300196000003,0.04322749617372342,0.03425196576310266,0.2645152040591264,True
V1_03_difficult,11,enhanced_ekf,3,11444.051360012963,11384.554218,7640.637748000002,3706.1113750000045,0.04322749617372342,0.03425196576310266,0.2645152040591264,True
V1_03_difficult,21,original,1,13155.481891008094,13100.530828,9357.070267000006,3707.076868999997,0.06423592826365145,0.041323121002091394,0.2539780442064272,True
V1_03_difficult,21,original,2,13165.298145962879,13109.73622,9366.307940999994,3707.252974000004,0.06423592826365145,0.041323121002091394,0.2539780442064272,True
V1_03_difficult,21,original,3,13155.761145055294,13100.607138,9355.688676999987,3708.0392080000047,0.06423592826365145,0.041323121002091394,0.2539780442064272,True
V1_03_difficult,21,root_messages,1,11897.635264089331,11835.383537,8076.056766999988,3712.8961189999986,0.06423590783938722,0.04132310556692349,0.25397714953141115,True
V1_03_difficult,21,root_messages,2,11934.505245881155,11871.603696,8109.710418999995,3716.0545410000004,0.06423590783938722,0.04132310556692349,0.25397714953141115,True
V1_03_difficult,21,root_messages,3,11954.094378976151,11891.776346,8131.054193000003,3714.754716999999,0.06423590783938722,0.04132310556692349,0.25397714953141115,True
V1_03_difficult,21,enhanced_ekf,1,11974.735097028315,11914.773196,8164.470943000011,3712.2552610000002,0.06423592801318495,0.04132309923650717,0.25397797207165,True
V1_03_difficult,21,enhanced_ekf,2,11966.521672904491,11906.744194,8156.820765999994,3711.8740540000003,0.06423592801318495,0.04132309923650717,0.25397797207165,True
V1_03_difficult,21,enhanced_ekf,3,12020.490710856393,11959.462149,8209.885847999994,3711.6895649999988,0.06423592801318495,0.04132309923650717,0.25397797207165,True
